"","nobs","nsim","rho","sel.cri","lm","heck.noinst","heck.inst"
"172",1100,29,-0.9,0,-0.221602427705779,0.0243852926055539,0.00893562050579733
"173",3000,29,-0.9,0,-0.248694851213348,-0.0976387465370069,-0.0596230473685015
"174",8200,29,-0.9,0,-0.211577820194503,0.0444080136604983,0.0183821228497851
"175",100,30,-0.9,0,-0.331334492438759,-0.453111166893202,-0.224152774431434
"176",200,30,-0.9,0,-0.262121465141152,-0.26627403909233,-0.0739395729376842
"177",500,30,-0.9,0,-0.124691520043398,-0.0936041140316888,0.0628393388799606
"178",1100,30,-0.9,0,-0.242285821029125,0.0400989597397496,-0.03651794064864
"179",3000,30,-0.9,0,-0.243038807819043,-0.0167598080953379,-0.0189175741494437
"180",8200,30,-0.9,0,-0.212616418042177,0.00666272668170542,0.010075315986974
"181",100,31,-0.9,0,-0.153719361707281,0.114137010813884,0.000263601168726924
"182",200,31,-0.9,0,-0.321437347923578,-0.0122476598786697,-0.000888653337512424
"183",500,31,-0.9,0,-0.0993427657116336,0.274738664362081,0.155294219677601
"184",1100,31,-0.9,0,-0.281470252535593,-0.00214667454933004,-0.0570280000342565
"185",3000,31,-0.9,0,-0.208778608884563,-0.0282306522800055,0.0104735828881073
"186",8200,31,-0.9,0,-0.200535139983752,-0.0124703462605816,0.0105077461881355
"187",100,32,-0.9,0,-0.310801601829103,-0.00691997173527903,0.0342896793849994
"188",200,32,-0.9,0,-0.305058066328271,-0.48900102042592,-0.114847237826775
"189",500,32,-0.9,0,-0.247812740290047,-0.060332049380709,-0.0473670622856076
"190",1100,32,-0.9,0,-0.210405227538485,0.0985902151596665,0.0272420518773211
"191",3000,32,-0.9,0,-0.206299406449576,-0.0220456077233038,0.0253700051677592
"192",8200,32,-0.9,0,-0.227760964371157,-0.0198530435212548,-0.0104115412917064
"193",100,33,-0.9,0,-0.348020697692526,-1.58200332108538,0.0511573325532135
"194",200,33,-0.9,0,-0.235733972141419,0.110138412176066,-0.0154420632773569
"195",500,33,-0.9,0,-0.275117610203365,0.00400595190911512,-0.0211653965745214
"196",1100,33,-0.9,0,-0.192006231834899,0.157254765724352,0.0482898068658681
"197",3000,33,-0.9,0,-0.244191621279141,-0.0506316168427157,-0.0400715022922508
"198",8200,33,-0.9,0,-0.232393959862857,-0.058915371369707,-0.0107888956447222
"199",100,34,-0.9,0,-0.316363634194568,1.13670184977657,-0.0464791702769107
"200",200,34,-0.9,0,-0.0541957705791433,-0.159646573867401,0.0646055655391569
"201",500,34,-0.9,0,-0.174463405182847,0.138043730743913,0.0421602477064966
"202",1100,34,-0.9,0,-0.192014248357322,0.0458771884047668,0.0118100557139751
"203",3000,34,-0.9,0,-0.205973401767881,-0.00240426830055973,0.0425671424320073
"204",8200,34,-0.9,0,-0.223300022954331,0.00829438818012673,-0.0121957099409182
"205",100,35,-0.9,0,-0.342308437522228,-0.149117192243587,-0.207054470347274
"206",200,35,-0.9,0,-0.40729157427613,-0.177199704728223,-0.14017769506721
"207",500,35,-0.9,0,-0.0680629162992599,0.33778966313737,0.204184240486418
"208",1100,35,-0.9,0,-0.234618192075958,-0.0235706351767081,-0.0189034044701374
"209",3000,35,-0.9,0,-0.234770879871576,0.0346621977516706,-0.0347746696899099
"210",8200,35,-0.9,0,-0.23680994456655,-0.0291890018478411,-0.00763631415749466
"211",100,36,-0.9,0,-0.422235167483803,-0.289201539581525,-0.257640973370716
"212",200,36,-0.9,0,-0.0551584113628313,-0.315990496022995,0.239827081573528
"213",500,36,-0.9,0,-0.217755501567201,-0.455369561689203,-0.0140451735945178
"214",1100,36,-0.9,0,-0.253763832120385,-0.0402588576396664,-0.00309926099781865
"215",3000,36,-0.9,0,-0.256472486249995,-0.0286497801757117,-0.0377537233699913
"216",8200,36,-0.9,0,-0.243796190538543,-0.0404124232207389,-0.0160513922680995
"217",100,37,-0.9,0,0.0917867612887071,0.100663683860859,0.375092799673013
"218",200,37,-0.9,0,-0.0974431339690982,-0.126275280717637,0.100990907279749
"219",500,37,-0.9,0,-0.285423908464589,-0.0658391995073988,-0.0717297704595871
"220",1100,37,-0.9,0,-0.161913978277925,0.0230285965438985,0.0446940486009919
"221",3000,37,-0.9,0,-0.240216389417384,-0.0315724982998428,-0.0195967511237382
"222",8200,37,-0.9,0,-0.214326825983187,-0.0292937442757495,0.00978815892748353
"223",100,38,-0.9,0,-0.0203172208324791,0.808462634159074,0.264989210825666
"224",200,38,-0.9,0,-0.163450513475584,-0.0690803861396917,0.149222029550852
"225",500,38,-0.9,0,-0.160166465884082,-0.227078475882078,0.0823366892725912
"226",1100,38,-0.9,0,-0.255402005846051,-0.00134682129765007,-0.0528624978595761
"227",3000,38,-0.9,0,-0.204477308455327,0.035639675075843,-0.000198030109324399
"228",8200,38,-0.9,0,-0.241177941637813,-0.0196315995204859,-0.00397751332698415
"229",100,39,-0.9,0,-0.329051834071768,-0.168810571188299,-0.22175926195357
"230",200,39,-0.9,0,-0.152247262516087,-0.085418927886741,0.0959873631734145
"231",500,39,-0.9,0,-0.225654742029939,-0.365361791544252,0.00137997724462258
"232",1100,39,-0.9,0,-0.170102680608088,0.1068968287112,0.0227979806504248
"233",3000,39,-0.9,0,-0.23393813846897,0.0371379679493771,-0.0115690612492843
"234",8200,39,-0.9,0,-0.201229928770164,-0.00480855602122376,0.0218121556138342
"235",100,40,-0.9,0,-0.339039000080493,-1.2408001602515,-0.183910114038956
"236",200,40,-0.9,0,-0.22289527406393,0.0145620456599767,-0.0816533216051856
"237",500,40,-0.9,0,-0.21239418023706,-0.111692987688308,-0.0251288723878896
"238",1100,40,-0.9,0,-0.201944007075444,0.0358187036917745,-0.0327282519204799
"239",3000,40,-0.9,0,-0.176917621721728,0.0555958381659669,0.00648229606589235
"240",8200,40,-0.9,0,-0.222862864149328,0.00332856164059248,0.0215645858445708
"241",100,41,-0.9,0,-0.00611563789051339,-0.279605474045013,0.200371533123007
"242",200,41,-0.9,0,-0.183014703496387,0.0220221783569599,0.0632427320075473
"243",500,41,-0.9,0,-0.196110324450289,0.0196191360813973,0.126841786434696
"244",1100,41,-0.9,0,-0.188957236488716,-0.0370708239033564,0.0502439364789922
"245",3000,41,-0.9,0,-0.233930157959277,-0.0251638822961329,-0.0393593092825586
"246",8200,41,-0.9,0,-0.226654203083224,-0.0236137512357534,-0.0136544675163283
"247",100,42,-0.9,0,-0.208638635591009,-0.935448260985589,0.0988784673203726
"248",200,42,-0.9,0,-0.378640453778512,-0.608831497687718,-0.0553215960212339
"249",500,42,-0.9,0,-0.186131759936174,0.0010176578154597,0.00487406766448673
"250",1100,42,-0.9,0,-0.306052387457565,-0.320438231841241,-0.0347626408078031
"251",3000,42,-0.9,0,-0.162352857733,-0.0078448475702213,0.0558847922227985
"252",8200,42,-0.9,0,-0.227932672057612,-0.0498079086134348,-0.0115472701813272
"253",100,43,-0.9,0,-0.286088382965772,-0.246625767377946,-0.106175350702068
"254",200,43,-0.9,0,-0.273351669388544,-0.000540842712738798,-0.0916972446034549
"255",500,43,-0.9,0,-0.251765782675586,-0.154510848400803,-0.0349768091390582
"256",1100,43,-0.9,0,-0.167828145001929,0.0850127755742969,0.0180950748138509
"257",3000,43,-0.9,0,-0.229696177802713,-0.02538053802249,-0.00243805442324174
"258",8200,43,-0.9,0,-0.204737934444907,0.0222693942161605,0.019923039959822
"259",100,44,-0.9,0,-0.191573608698234,-0.247589616333926,0.202939481038505
"260",200,44,-0.9,0,-0.128254898183731,0.205958985481551,0.0762831506088475
"261",500,44,-0.9,0,-0.208772490360336,-0.341693233017389,-0.073149895967934
"262",1100,44,-0.9,0,-0.208900530214283,0.0660819101361056,-0.0547278813323514
"263",3000,44,-0.9,0,-0.216854647170875,-0.0468585178755686,0.00485820253979674
"264",8200,44,-0.9,0,-0.225292782372775,-0.0507121556444569,-0.00926364321418083
